,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
emb_avg_115,0.6657,0.1134,5.8731,4.2768906353887246e-09,0.4436,0.8879,1.9459,1.5583,2.4301
emb_avg_116,-2.61,0.1164,-22.4168,2.6989257986676152e-111,-2.8382,-2.3818,0.0735,0.0585,0.0924
emb_avg_117,-1.3598,0.1097,-12.3961,2.7447191655657264e-35,-1.5748,-1.1448,0.2567,0.2071,0.3183
emb_avg_118,1.5402,0.1122,13.7281,6.892717900497388e-43,1.3203,1.7601,4.6656,3.7446,5.8131
emb_avg_119,-2.7975,0.1207,-23.176,7.960087062724331e-119,-3.0341,-2.5609,0.061,0.0481,0.0772
emb_avg_120,3.4339,0.1193,28.7901,2.8496627344602196e-182,3.2001,3.6677,30.9972,24.5356,39.1605
emb_avg_121,1.9352,0.1218,15.8872,7.769179753618153e-57,1.6964,2.1739,6.9252,5.4544,8.7925
emb_avg_122,2.693,0.1157,23.2664,9.71702958191403e-120,2.4661,2.9198,14.7753,11.7765,18.5378
emb_avg_123,-1.9213,0.1162,-16.5345,2.0713274751737214e-61,-2.1491,-1.6936,0.1464,0.1166,0.1839
emb_avg_124,1.5084,0.1138,13.2551,4.213357725560487e-40,1.2854,1.7314,4.5195,3.616,5.6488
emb_avg_125,1.2984,0.1116,11.6306,2.880506986384616e-31,1.0796,1.5172,3.6634,2.9435,4.5595
emb_avg_126,-1.1519,0.1164,-9.8948,4.385706960471466e-23,-1.3801,-0.9238,0.316,0.2516,0.397
emb_avg_127,-1.4953,0.1153,-12.9644,1.9480323365877265e-38,-1.7213,-1.2692,0.2242,0.1788,0.2811
