,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
const,34.8398,0.4678,74.4749,0.0,33.9229,35.7567,1351247557404220.5,540179060573566.4,3380119842950131.0
log_dist_median,-0.6779,0.0092,-73.8021,0.0,-0.6959,-0.6599,0.5077,0.4986,0.5169
