,Value
Dependent Variable,y
No. Observations,6930242
Df Model,129.0
Df Residuals,6930112.0
Converged,True
Iterations,43
Covariance Type,dyadic-robust
Log-Likelihood,-3840742.328
LL-Null (intercept only),-4803677.7029
LLR chi2,1925870.7499
LLR p-value,0.0
Pseudo R-squ. (McFadden's),0.2005
AIC,7681744.6559
BIC,7683532.3386
