,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
emb_avg_115,0.6446,0.1037,6.2142,5.158952391071825e-10,0.4413,0.848,1.9053,1.5548,2.3349
emb_avg_116,-2.435,0.1066,-22.8491,1.4906328152152923e-115,-2.6439,-2.2261,0.0876,0.0711,0.1079
emb_avg_117,-1.2488,0.1004,-12.4348,1.6909840673764917e-35,-1.4457,-1.052,0.2868,0.2356,0.3492
emb_avg_118,1.3847,0.1026,13.4912,1.761694558771599e-41,1.1836,1.5859,3.9938,3.266,4.8837
emb_avg_119,-2.5111,0.1099,-22.8588,1.1940025125911055e-115,-2.7264,-2.2958,0.0812,0.0655,0.1007
emb_avg_120,3.1066,0.1082,28.7225,1.9955294403834677e-181,2.8946,3.3186,22.3445,18.0761,27.6207
emb_avg_121,1.7581,0.1108,15.8653,1.1026334659173975e-56,1.5409,1.9753,5.8012,4.6687,7.2085
emb_avg_122,2.2927,0.1051,21.8111,1.8194373308452774e-105,2.0866,2.4987,9.9012,8.0578,12.1664
emb_avg_123,-1.7972,0.1063,-16.9112,3.722081882559086e-64,-2.0055,-1.5889,0.1658,0.1346,0.2042
emb_avg_124,1.4704,0.1043,14.0953,4.0577404092981824e-45,1.2659,1.6748,4.3509,3.5464,5.338
emb_avg_125,1.2808,0.1023,12.5257,5.398317808384434e-36,1.0804,1.4813,3.5996,2.9459,4.3984
emb_avg_126,-0.9925,0.1062,-9.3416,9.489634935864008e-21,-1.2007,-0.7842,0.3707,0.301,0.4565
emb_avg_127,-1.2821,0.1052,-12.186,3.691988851885052e-34,-1.4883,-1.0759,0.2775,0.2258,0.341
