# positive edge set (train+test); log-axis panels use nonzero values only, full range
variable,n,n_zero,pct_zero,mean,median_nonzero,p01_nonzero,p99_nonzero,min_nonzero,max,n_at_floor,pct_at_floor,pct_at_floor_of_nonzero,n_distinct_nonzero,grid_step,frac_on_grid
DEP,4620138,4093267,88.5962,2.735636900889108e-07,1e-06,1e-06,1.9e-05,1e-06,0.008403,363264,7.8626,68.9474,327,9.9999999999997e-07,1.0
N_COVISITS,4620138,0,0.0,4.40836615702821,1.0,1.0,49.0,1.0,18660.0,2661784,57.6127,57.6127,1366,1.0,1.0
