,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
emb_w-l2_0,-0.6586,0.1241,-5.3077,1.1101575504491963e-07,-0.9018,-0.4154,0.5176,0.4058,0.6601
emb_w-l2_1,-0.2389,0.1024,-2.333,0.019649512903822417,-0.4395,-0.0382,0.7875,0.6443,0.9625
emb_w-l2_2,-0.5253,0.1391,-3.7758,0.00015950528469743777,-0.798,-0.2526,0.5914,0.4502,0.7767
emb_w-l2_3,-0.9206,0.1396,-6.593,4.309772363843974e-11,-1.1943,-0.6469,0.3983,0.3029,0.5237
emb_w-l2_4,-1.0769,0.1258,-8.5638,1.0919118112310472e-17,-1.3234,-0.8305,0.3406,0.2662,0.4359
emb_w-l2_5,-0.2701,0.1547,-1.7455,0.08089728112247752,-0.5733,0.0332,0.7633,0.5636,1.0337
emb_w-l2_6,-0.8661,0.1547,-5.5979,2.1698341330820447e-08,-1.1693,-0.5628,0.4206,0.3106,0.5696
emb_w-l2_7,0.2733,0.1671,1.6359,0.10186867100148984,-0.0542,0.6008,1.3143,0.9473,1.8235
emb_w-l2_8,-1.3587,0.1414,-9.6126,7.075007953880988e-22,-1.6358,-1.0817,0.257,0.1948,0.339
emb_w-l2_9,-0.2021,0.151,-1.3389,0.18061420986852894,-0.498,0.0938,0.817,0.6077,1.0983
emb_w-l2_10,-1.2946,0.1088,-11.8949,1.2585433697230216e-32,-1.5079,-1.0813,0.274,0.2214,0.3392
emb_w-l2_11,-1.2921,0.1139,-11.3412,8.1981333221373e-30,-1.5154,-1.0688,0.2747,0.2197,0.3434
emb_w-l2_12,-1.0586,0.1237,-8.5565,1.1631950252121484e-17,-1.3011,-0.8161,0.3469,0.2722,0.4421
emb_w-l2_13,-0.0486,0.1453,-0.3343,0.7381531224576652,-0.3334,0.2363,0.9526,0.7165,1.2665
emb_w-l2_14,-0.3641,0.1128,-3.2279,0.0012469222139057008,-0.5851,-0.143,0.6949,0.557,0.8668
emb_w-l2_15,-0.376,0.155,-2.425,0.015307389055224874,-0.6799,-0.0721,0.6866,0.5067,0.9304
emb_w-l2_16,-0.934,0.1476,-6.3296,2.4579063061500687e-10,-1.2233,-0.6448,0.393,0.2943,0.5248
emb_w-l2_17,-1.1486,0.1167,-9.843,7.350232279882796e-23,-1.3773,-0.9199,0.3171,0.2523,0.3986
emb_w-l2_18,-1.5622,0.1006,-15.5359,1.983418510979846e-54,-1.7593,-1.3651,0.2097,0.1722,0.2553
emb_w-l2_19,-0.5073,0.1211,-4.1875,2.8205479681105365e-05,-0.7447,-0.2699,0.6021,0.4749,0.7635
emb_w-l2_20,-0.1801,0.1359,-1.3257,0.18493772792125396,-0.4465,0.0862,0.8352,0.6399,1.09
emb_w-l2_21,0.2821,0.139,2.03,0.042356812124740205,0.0097,0.5545,1.3259,1.0098,1.7411
emb_w-l2_22,-0.8247,0.1449,-5.693,1.2479529888872367e-08,-1.1086,-0.5408,0.4384,0.33,0.5823
emb_w-l2_23,-0.5553,0.1225,-4.5326,5.826249001830079e-06,-0.7954,-0.3152,0.5739,0.4514,0.7297
emb_w-l2_24,-0.6771,0.1436,-4.7147,2.420888328888926e-06,-0.9585,-0.3956,0.5081,0.3835,0.6733
emb_w-l2_25,-0.6993,0.1294,-5.406,6.443233731431639e-08,-0.9529,-0.4458,0.4969,0.3856,0.6403
emb_w-l2_26,-1.8278,0.1063,-17.1899,3.1580593625082495e-66,-2.0362,-1.6194,0.1608,0.1305,0.198
emb_w-l2_27,0.0137,0.164,0.0837,0.9333186941077726,-0.3076,0.3351,1.0138,0.7352,1.398
emb_w-l2_28,-0.5635,0.1616,-3.486,0.0004902744578476731,-0.8803,-0.2467,0.5692,0.4146,0.7814
emb_w-l2_29,-0.696,0.1172,-5.9411,2.8314041035255915e-09,-0.9257,-0.4664,0.4986,0.3963,0.6272
emb_w-l2_30,-0.3224,0.1404,-2.296,0.021675079413748653,-0.5975,-0.0472,0.7244,0.5502,0.9539
emb_w-l2_31,-1.0586,0.1355,-7.8116,5.644560857263595e-15,-1.3243,-0.793,0.3469,0.266,0.4525
emb_w-l2_32,-1.0422,0.1469,-7.0968,1.2768871335620609e-12,-1.3301,-0.7544,0.3527,0.2645,0.4703
emb_w-l2_33,0.0351,0.1085,0.3239,0.7460401727336725,-0.1776,0.2479,1.0358,0.8373,1.2813
emb_w-l2_34,-0.7323,0.1284,-5.7014,1.1879420545098729e-08,-0.984,-0.4805,0.4808,0.3738,0.6184
emb_w-l2_35,-1.072,0.0994,-10.7839,4.10033559169817e-27,-1.2668,-0.8772,0.3423,0.2817,0.416
emb_w-l2_36,0.035,0.1294,0.2703,0.7869559543110527,-0.2186,0.2885,1.0356,0.8037,1.3344
emb_w-l2_37,-0.0678,0.1096,-0.619,0.5359348089803344,-0.2827,0.147,0.9344,0.7538,1.1583
emb_w-l2_38,-0.596,0.1327,-4.4921,7.05079006542048e-06,-0.8561,-0.336,0.551,0.4248,0.7146
emb_w-l2_39,-2.1179,0.1254,-16.8842,5.8845179604430063e-64,-2.3637,-1.872,0.1203,0.0941,0.1538
emb_w-l2_40,-0.6607,0.142,-4.6515,3.295831197217588e-06,-0.9391,-0.3823,0.5165,0.391,0.6823
emb_w-l2_41,-1.1194,0.1292,-8.6663,4.464165698851084e-18,-1.3725,-0.8662,0.3265,0.2535,0.4205
emb_w-l2_42,-1.5577,0.1414,-11.0181,3.124588803464377e-28,-1.8348,-1.2806,0.2106,0.1596,0.2779
emb_w-l2_43,0.1926,0.0946,2.0361,0.041737316327252125,0.0072,0.378,1.2124,1.0072,1.4593
emb_w-l2_44,-0.5741,0.1216,-4.723,2.323758843641283e-06,-0.8124,-0.3359,0.5632,0.4438,0.7147
emb_w-l2_45,-1.0632,0.1424,-7.4666,8.230916419036663e-14,-1.3423,-0.7841,0.3453,0.2612,0.4565
emb_w-l2_46,-0.3522,0.1067,-3.2999,0.0009672100598360828,-0.5613,-0.143,0.7032,0.5704,0.8668
emb_w-l2_47,-1.1236,0.1226,-9.1649,4.9599780867904974e-20,-1.3639,-0.8833,0.3251,0.2557,0.4134
emb_w-l2_48,-0.6846,0.1211,-5.6549,1.5596890892924298e-08,-0.9219,-0.4474,0.5043,0.3977,0.6393
emb_w-l2_49,-1.3379,0.1208,-11.0801,1.5672446874748541e-28,-1.5746,-1.1013,0.2624,0.2071,0.3325
emb_w-l2_50,-0.8723,0.1293,-6.7454,1.5261513138027808e-11,-1.1257,-0.6188,0.418,0.3244,0.5386
emb_w-l2_51,-0.9659,0.1136,-8.5049,1.818133799765118e-17,-1.1885,-0.7433,0.3806,0.3047,0.4755
