,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
emb_avg_114,1.1867,0.1136,10.4429,1.5798791447422928e-25,0.9639,1.4094,3.2761,2.622,4.0934
emb_avg_115,0.6652,0.1134,5.8679,4.414768976665943e-09,0.443,0.8874,1.945,1.5574,2.4289
emb_avg_116,-2.6077,0.1164,-22.3969,4.2173605859117556e-111,-2.8359,-2.3795,0.0737,0.0587,0.0926
emb_avg_117,-1.3595,0.1097,-12.3938,2.824686871230841e-35,-1.5745,-1.1445,0.2568,0.2071,0.3184
emb_avg_118,1.5395,0.1122,13.7216,7.542893789428901e-43,1.3196,1.7595,4.6625,3.7421,5.8093
emb_avg_119,-2.7954,0.1207,-23.1604,1.142625900516821e-118,-3.032,-2.5589,0.0611,0.0482,0.0774
emb_avg_120,3.433,0.1193,28.7801,3.8018017914266524e-182,3.1992,3.6668,30.9689,24.5127,39.1254
emb_avg_121,1.9343,0.1218,15.8787,8.899665185011292e-57,1.6956,2.1731,6.9195,5.4498,8.7855
emb_avg_122,2.6923,0.1158,23.2576,1.192456682618161e-119,2.4654,2.9191,14.765,11.7679,18.5253
emb_avg_123,-1.9196,0.1162,-16.5198,2.64308066361934e-61,-2.1473,-1.6918,0.1467,0.1168,0.1842
emb_avg_124,1.5084,0.1138,13.2545,4.24767058421412e-40,1.2853,1.7314,4.5194,3.6159,5.6487
emb_avg_125,1.2968,0.1117,11.6145,3.476567703685683e-31,1.078,1.5157,3.6577,2.9388,4.5525
emb_avg_126,-1.1513,0.1164,-9.8892,4.63914525429586e-23,-1.3794,-0.9231,0.3162,0.2517,0.3973
emb_avg_127,-1.495,0.1153,-12.961,2.0350733995457933e-38,-1.7211,-1.2689,0.2242,0.1789,0.2811
