,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
emb_hadamard_114,1.0162,0.0373,27.2238,3.392853540468628e-163,0.943,1.0893,2.7626,2.5677,2.9723
emb_hadamard_115,0.9619,0.0323,29.8137,2.5954865562409076e-195,0.8987,1.0252,2.6167,2.4564,2.7875
emb_hadamard_116,4.0401,0.0386,104.6338,0.0,3.9645,4.1158,56.8345,52.6921,61.3026
emb_hadamard_117,-2.32,0.0318,-72.9894,0.0,-2.3823,-2.2577,0.0983,0.0923,0.1046
emb_hadamard_118,-1.1473,0.018,-63.8636,0.0,-1.1825,-1.1121,0.3175,0.3065,0.3289
emb_hadamard_119,-1.0812,0.0349,-30.9479,2.715014069612266e-210,-1.1497,-1.0128,0.3392,0.3167,0.3632
emb_hadamard_120,1.0071,0.0282,35.6599,1.655216400360906e-278,0.9517,1.0624,2.7376,2.5902,2.8934
emb_hadamard_121,4.2009,0.0322,130.3254,0.0,4.1377,4.2641,66.7473,62.6608,71.1003
emb_hadamard_122,1.5971,0.036,44.3225,0.0,1.5265,1.6678,4.9389,4.6021,5.3003
emb_hadamard_123,-0.3334,0.0205,-16.2946,1.0777618859920811e-59,-0.3735,-0.2933,0.7165,0.6883,0.7458
emb_hadamard_124,-2.386,0.0193,-123.4039,0.0,-2.4239,-2.3482,0.092,0.0886,0.0955
emb_hadamard_125,-0.0782,0.032,-2.4462,0.014438609518271372,-0.1409,-0.0156,0.9247,0.8685,0.9846
emb_hadamard_126,-0.8351,0.0329,-25.3906,3.200215140747039e-142,-0.8996,-0.7707,0.4338,0.4067,0.4627
emb_hadamard_127,-0.7877,0.0258,-30.4983,2.7456562581193592e-204,-0.8383,-0.737,0.4549,0.4325,0.4785
