,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
const,6.5657,0.007,938.2277,0.0,6.552,6.5794,710.2934,700.6177,720.1027
log_dist_median,0.9811,0.0014,700.5655,0.0,0.9783,0.9838,2.6673,2.66,2.6747
