,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
emb_w-l1_0,-0.5237,0.0461,-11.3727,5.7158594459715886e-30,-0.614,-0.4335,0.5923,0.5412,0.6483
emb_w-l1_1,-0.6517,0.042,-15.5249,2.3533217822286694e-54,-0.7339,-0.5694,0.5212,0.48,0.5659
emb_w-l1_2,-0.3579,0.0512,-6.9918,2.71407693895723e-12,-0.4582,-0.2575,0.6992,0.6324,0.7729
emb_w-l1_3,-0.5896,0.0502,-11.7353,8.403531839598815e-32,-0.6881,-0.4911,0.5545,0.5025,0.6119
emb_w-l1_4,-0.6105,0.0455,-13.4321,3.9227001871624194e-41,-0.6996,-0.5214,0.5431,0.4968,0.5937
emb_w-l1_5,-0.2869,0.0527,-5.4462,5.1462561206662326e-08,-0.3901,-0.1836,0.7506,0.677,0.8322
emb_w-l1_6,-0.2835,0.0525,-5.401,6.625682913495086e-08,-0.3863,-0.1806,0.7532,0.6795,0.8348
emb_w-l1_7,0.1017,0.0551,1.8469,0.06476297533749567,-0.0062,0.2097,1.1071,0.9938,1.2333
emb_w-l1_8,-0.6515,0.0497,-13.1037,3.13433193834973e-39,-0.7489,-0.5541,0.5213,0.4729,0.5746
emb_w-l1_9,-0.2796,0.0512,-5.458,4.8153890349650066e-08,-0.3799,-0.1792,0.7561,0.6839,0.836
emb_w-l1_10,-0.6864,0.0451,-15.2238,2.4570299288411628e-52,-0.7747,-0.598,0.5034,0.4608,0.5499
emb_w-l1_11,-0.628,0.0459,-13.6932,1.1152774889743587e-42,-0.7179,-0.5381,0.5336,0.4878,0.5838
emb_w-l1_12,-0.6958,0.0476,-14.6058,2.57921909930216e-48,-0.7891,-0.6024,0.4987,0.4542,0.5475
emb_w-l1_13,-0.1821,0.0501,-3.6323,0.0002809031885452481,-0.2804,-0.0838,0.8335,0.7555,0.9196
emb_w-l1_14,-0.5632,0.0438,-12.8483,8.78721341568779e-38,-0.6492,-0.4773,0.5694,0.5225,0.6204
emb_w-l1_15,-0.2207,0.0524,-4.212,2.5314631321667306e-05,-0.3234,-0.118,0.802,0.7237,0.8887
