"# post-operator emb_* block only, epochs=4, map 7aabf82e5e"
# balanced 200k-pair sample (100k pos + 100k neg) from the training split
operator,n_dims,value_mean,value_std,value_min,value_max,value_skew,dim_std_ratio,dim_absmean_max,pair_norm_min,pair_norm_median,pair_norm_max,pair_norm_ratio
avg,128,0.006819,0.145786,-0.773450,0.946953,0.0328,1.8571,0.250131,1.007179,1.608238,2.782518,2.7627
hadamard,128,0.011293,0.035554,-0.378466,0.893859,2.6132,5.3296,0.074964,0.137539,0.384650,1.343963,9.7715
w-l1,128,0.158069,0.122645,0.000000,1.254728,1.1234,1.4239,0.193729,0.787452,2.210731,3.682397,4.6763
w-l2,128,0.040028,0.059883,0.000000,1.574343,3.2965,2.0544,0.061200,0.090519,0.739124,2.193356,24.2310
cosine,1,0.357524,0.169218,-0.141688,0.939401,0.3479,1.0000,0.357524,0.000016,0.341165,0.939401,58118.9408
