,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
emb_hadamard_113,4.9891,0.2814,17.7289,0.0,4.4375,5.5406,146.8003,84.5651,254.8374
emb_hadamard_114,-2.0895,0.3777,-5.5325,0.0,-2.8297,-1.3492,0.1238,0.059,0.2594
emb_hadamard_115,16.0355,0.2853,56.2039,0.0,15.4763,16.5947,9206830.2193,5263264.2527,16105161.8572
emb_hadamard_116,-3.788,0.3477,-10.895,0.0,-4.4694,-3.1066,0.0226,0.0115,0.0448
emb_hadamard_117,4.2621,0.2172,19.6196,0.0,3.8363,4.6879,70.9595,46.3551,108.6235
emb_hadamard_118,12.6943,0.356,35.6531,0.0,11.9964,13.3921,325876.9433,162175.0013,654822.1446
emb_hadamard_119,14.2977,0.3269,43.7371,0.0,13.657,14.9384,1619576.7459,853381.5448,3073688.2603
emb_hadamard_120,-0.929,0.1982,-4.6867,0.0,-1.3175,-0.5405,0.395,0.2678,0.5825
emb_hadamard_121,-42.0639,0.1686,-249.4655,0.0,-42.3944,-41.7334,0.0,0.0,0.0
emb_hadamard_122,10.5843,0.3266,32.4073,0.0,9.9442,11.2245,39510.9915,20831.1259,74941.6262
emb_hadamard_123,13.876,0.3315,41.859,0.0,13.2262,14.5257,1062311.7909,554733.7641,2034320.631
emb_hadamard_124,0.1869,0.397,0.4708,0.6378,-0.5912,0.965,1.2055,0.5537,2.6247
emb_hadamard_125,-9.2361,0.189,-48.8632,0.0,-9.6066,-8.8656,0.0001,0.0001,0.0001
emb_hadamard_126,14.3711,0.2025,70.9738,0.0,13.9742,14.768,1742984.6307,1172028.4866,2592083.2621
emb_hadamard_127,13.2092,0.1742,75.8336,0.0,12.8678,13.5506,545367.2617,387633.1652,767285.8695
