,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
emb_w-l1_58,0.395,0.0077,51.0914,0.0,0.3798,0.4101,1.4843,1.462,1.507
emb_w-l1_59,-0.5487,0.0066,-82.9379,0.0,-0.5617,-0.5358,0.5777,0.5702,0.5852
emb_w-l1_60,0.0015,0.0071,0.2097,0.8338931984454507,-0.0124,0.0154,1.0015,0.9877,1.0155
emb_w-l1_61,-0.2985,0.0067,-44.4564,0.0,-0.3117,-0.2854,0.7419,0.7322,0.7517
emb_w-l1_62,-0.0199,0.0067,-2.9514,0.0031631785747185783,-0.033,-0.0067,0.9803,0.9675,0.9934
emb_w-l1_63,-0.154,0.0067,-22.8431,1.7113340805295916e-115,-0.1672,-0.1408,0.8573,0.846,0.8687
emb_w-l1_64,-0.6122,0.0071,-85.9839,0.0,-0.6262,-0.5983,0.5421,0.5346,0.5498
emb_w-l1_65,-0.1208,0.0073,-16.574,1.0740759789746819e-61,-0.1351,-0.1065,0.8862,0.8736,0.899
emb_w-l1_66,-0.3079,0.0069,-44.6116,0.0,-0.3214,-0.2944,0.735,0.7251,0.745
emb_w-l1_67,0.0478,0.007,6.7902,1.1196447850335417e-11,0.034,0.0616,1.0489,1.0346,1.0635
emb_w-l1_68,0.134,0.0071,18.8025,7.202949044454341e-79,0.12,0.1479,1.1434,1.1275,1.1594
emb_w-l1_69,-0.6228,0.0071,-87.9423,0.0,-0.6367,-0.6089,0.5364,0.529,0.5439
emb_w-l1_70,-0.0654,0.0074,-8.7817,1.610357857931777e-18,-0.08,-0.0508,0.9367,0.9231,0.9505
emb_w-l1_71,-0.7759,0.0068,-114.8094,0.0,-0.7891,-0.7626,0.4603,0.4542,0.4664
emb_w-l1_72,-0.1552,0.0071,-21.7219,1.2726496482643037e-104,-0.1692,-0.1412,0.8563,0.8444,0.8684
emb_w-l1_73,-0.2303,0.007,-32.9451,4.973011898790227e-238,-0.244,-0.2166,0.7943,0.7835,0.8053
emb_w-l1_74,-0.7422,0.0071,-104.9812,0.0,-0.756,-0.7283,0.4761,0.4695,0.4827
emb_w-l1_75,-0.5522,0.0066,-84.2806,0.0,-0.565,-0.5393,0.5757,0.5683,0.5831
emb_w-l1_76,-0.069,0.0073,-9.3936,5.800176870548199e-21,-0.0834,-0.0546,0.9333,0.92,0.9468
emb_w-l1_77,-0.646,0.0067,-95.8555,0.0,-0.6592,-0.6328,0.5242,0.5173,0.5311
emb_w-l1_78,-0.2792,0.0072,-38.677,0.0,-0.2933,-0.265,0.7564,0.7458,0.7672
emb_w-l1_79,-0.2973,0.0074,-40.0542,0.0,-0.3118,-0.2827,0.7429,0.7321,0.7537
emb_w-l1_80,-0.2437,0.0071,-34.2614,2.9535987360636637e-257,-0.2577,-0.2298,0.7837,0.7728,0.7947
emb_w-l1_81,-0.2909,0.0072,-40.4566,0.0,-0.305,-0.2768,0.7476,0.7372,0.7582
emb_w-l1_82,0.1524,0.0071,21.5416,6.349122739287637e-103,0.1385,0.1662,1.1646,1.1485,1.1808
emb_w-l1_83,-0.2823,0.0071,-39.928,0.0,-0.2961,-0.2684,0.7541,0.7437,0.7646
emb_w-l1_84,-0.0337,0.0075,-4.5123,6.4122447733078625e-06,-0.0483,-0.0191,0.9669,0.9528,0.9811
emb_w-l1_85,-0.1733,0.0069,-25.2605,8.68765669109411e-141,-0.1868,-0.1599,0.8409,0.8296,0.8523
emb_w-l1_86,-0.3915,0.0072,-54.4357,0.0,-0.4056,-0.3774,0.6761,0.6666,0.6857
emb_w-l1_87,-0.3672,0.007,-52.0923,0.0,-0.381,-0.3534,0.6927,0.6832,0.7023
emb_w-l1_88,-0.1314,0.0067,-19.5475,4.3325329498094625e-85,-0.1446,-0.1183,0.8768,0.8653,0.8885
emb_w-l1_89,-0.2478,0.0073,-33.8086,1.475954275186411e-250,-0.2622,-0.2335,0.7805,0.7694,0.7918
emb_w-l1_90,0.0517,0.0067,7.7067,1.290803773549235e-14,0.0386,0.0649,1.0531,1.0393,1.0671
emb_w-l1_91,0.0476,0.0074,6.4409,1.1879497240920512e-10,0.0331,0.0621,1.0487,1.0337,1.064
emb_w-l1_92,-0.6614,0.0068,-96.7488,0.0,-0.6748,-0.648,0.5161,0.5092,0.5231
emb_w-l1_93,-0.0124,0.0068,-1.81,0.07029042493865448,-0.0257,0.001,0.9877,0.9746,1.001
emb_w-l1_94,-0.2366,0.007,-33.6825,1.0431294816267205e-248,-0.2504,-0.2229,0.7893,0.7785,0.8002
emb_w-l1_95,-0.2119,0.0067,-31.4272,8.590181357276908e-217,-0.2251,-0.1987,0.809,0.7984,0.8198
emb_w-l1_96,-0.4555,0.0068,-67.361,0.0,-0.4688,-0.4423,0.6341,0.6258,0.6426
emb_w-l1_97,-0.3873,0.0072,-53.9044,0.0,-0.4014,-0.3732,0.6789,0.6694,0.6885
emb_w-l1_98,0.1887,0.0069,27.3235,2.2291655821608614e-164,0.1751,0.2022,1.2076,1.1914,1.2241
emb_w-l1_99,-0.5771,0.0069,-83.8545,0.0,-0.5906,-0.5636,0.5615,0.554,0.5692
emb_w-l1_100,-0.3195,0.0068,-46.6976,0.0,-0.3329,-0.3061,0.7265,0.7169,0.7363
emb_w-l1_101,-0.4068,0.0076,-53.6501,0.0,-0.4217,-0.392,0.6657,0.6559,0.6757
emb_w-l1_102,-0.6655,0.0063,-105.6424,0.0,-0.6778,-0.6531,0.514,0.5077,0.5204
emb_w-l1_103,-0.2496,0.0071,-35.0335,6.946907426011965e-269,-0.2636,-0.2357,0.7791,0.7683,0.79
emb_w-l1_104,-0.0229,0.0075,-3.0605,0.0022097827112986376,-0.0376,-0.0083,0.9773,0.9631,0.9918
emb_w-l1_105,-0.6387,0.0066,-96.5427,0.0,-0.6517,-0.6257,0.528,0.5212,0.5349
emb_w-l1_106,-0.0046,0.0072,-0.6427,0.5204289154639821,-0.0187,0.0095,0.9954,0.9814,1.0095
