,Value
Dependent Variable,y
No. Observations,6930242
Df Model,128.0
Df Residuals,6930113.0
Converged,True
Iterations,24
Covariance Type,dyadic-robust
Log-Likelihood,-4184114.4284
LL-Null (intercept only),-4803677.7029
LLR chi2,1239126.5491
LLR p-value,0.0
Pseudo R-squ. (McFadden's),0.129
AIC,8368486.8567
BIC,8370260.788
