,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
emb_hadamard_114,-12.813,0.1377,-93.0564,0.0,-13.0828,-12.5431,0.0,0.0,0.0
emb_hadamard_115,-18.8518,0.2177,-86.6041,0.0,-19.2785,-18.4252,0.0,0.0,0.0
emb_hadamard_116,1.9179,0.3769,5.0886,0.0,1.1792,2.6566,6.8064,3.2517,14.2473
emb_hadamard_117,-20.2865,0.1954,-103.824,0.0,-20.6695,-19.9035,0.0,0.0,0.0
emb_hadamard_118,-28.902,0.1951,-148.1552,0.0,-29.2843,-28.5196,0.0,0.0,0.0
emb_hadamard_119,-35.3645,0.2543,-139.0793,0.0,-35.8628,-34.8661,0.0,0.0,0.0
emb_hadamard_120,12.9201,0.2413,53.5525,0.0,12.4472,13.393,408442.3388,254547.7625,655378.5523
emb_hadamard_121,11.6353,0.345,33.7289,0.0,10.9592,12.3114,113017.0437,57479.0185,222217.6456
emb_hadamard_122,3.1214,0.1845,16.9153,0.0,2.7597,3.4831,22.6782,15.7956,32.5599
emb_hadamard_123,-4.9029,0.2043,-23.9946,0.0,-5.3034,-4.5024,0.0074,0.005,0.0111
emb_hadamard_124,-1.5737,0.2683,-5.8658,0.0,-2.0996,-1.0479,0.2073,0.1225,0.3507
emb_hadamard_125,9.1303,0.3871,23.584,0.0,8.3715,9.8891,9230.7192,4322.1772,19713.7169
emb_hadamard_126,-19.9939,0.3461,-57.7707,0.0,-20.6723,-19.3156,0.0,0.0,0.0
emb_hadamard_127,-2.888,0.1643,-17.5762,0.0,-3.2101,-2.566,0.0557,0.0404,0.0768
