,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
emb_hadamard_117,0.2754,0.0131,21.0464,0.0,0.2497,0.301,1.317,1.2837,1.3512
emb_hadamard_118,0.8165,0.0211,38.6191,0.0,0.775,0.8579,2.2625,2.1707,2.3583
emb_hadamard_119,-0.8134,0.023,-35.428,0.0,-0.8584,-0.7684,0.4434,0.4238,0.4638
emb_hadamard_120,-0.1773,0.0195,-9.0906,0.0,-0.2155,-0.1391,0.8375,0.8061,0.8702
emb_hadamard_121,0.1398,0.0352,3.9704,0.0001,0.0708,0.2088,1.1501,1.0734,1.2322
emb_hadamard_122,2.127,0.0219,96.9572,0.0,2.084,2.17,8.3893,8.0362,8.7579
emb_hadamard_123,2.3809,0.0161,148.0712,0.0,2.3494,2.4124,10.8144,10.4789,11.1606
emb_hadamard_124,1.2746,0.0255,49.9638,0.0,1.2246,1.3246,3.5772,3.4027,3.7606
emb_hadamard_125,1.54,0.019,80.9135,0.0,1.5027,1.5773,4.6645,4.4937,4.8418
emb_hadamard_126,1.0977,0.0162,67.9211,0.0,1.066,1.1293,2.9971,2.9037,3.0936
emb_hadamard_127,0.5545,0.0251,22.0583,0.0,0.5053,0.6038,1.7411,1.6574,1.8291
